iter	Passed	Remaining
0	152	228668
1	164	122974
2	175	87720
3	187	70165
4	198	59442
5	209	52263
6	220	47104
7	231	43258
8	243	40328
9	255	37999
10	266	36029
11	276	34296
12	287	32866
13	297	31599
14	309	30602
15	320	29689
16	330	28835
17	341	28104
18	352	27463
19	363	26893
20	374	26351
21	384	25846
22	396	25472
23	407	25087
24	419	24746
25	430	24383
26	442	24115
27	453	23818
28	464	23557
29	475	23291
30	485	23028
31	496	22769
32	506	22532
33	517	22308
34	527	22079
35	537	21871
36	545	21584
37	556	21406
38	567	21244
39	578	21110
40	588	20959
41	599	20825
42	610	20697
43	622	20582
44	633	20470
45	645	20390
46	655	20273
47	666	20166
48	678	20091
49	689	20008
50	701	19918
51	712	19837
52	722	19735
53	733	19646
54	745	19583
55	756	19509
56	767	19428
57	778	19360
58	790	19297
59	801	19229
60	811	19148
61	822	19084
62	833	19013
63	843	18935
64	854	18868
65	865	18811
66	876	18744
67	887	18691
68	898	18635
69	908	18564
70	919	18509
71	931	18466
72	941	18412
73	952	18363
74	964	18318
75	975	18270
76	985	18218
77	997	18181
78	1008	18132
79	1018	18075
80	1029	18037
81	1040	17993
82	1051	17953
83	1062	17908
84	1073	17862
85	1084	17825
86	1094	17782
87	1105	17745
88	1116	17697
89	1126	17653
90	1137	17616
91	1148	17582
92	1159	17545
93	1170	17503
94	1181	17468
95	1191	17432
96	1202	17398
97	1214	17368
98	1224	17332
99	1235	17292
100	1245	17253
101	1256	17225
102	1267	17192
103	1278	17166
104	1290	17141
105	1301	17115
106	1312	17087
107	1324	17067
108	1335	17048
109	1347	17032
110	1358	17003
111	1369	16977
112	1380	16948
113	1392	16925
114	1403	16898
115	1413	16868
116	1424	16842
117	1435	16816
118	1447	16793
119	1458	16772
120	1469	16744
121	1480	16720
122	1491	16700
123	1502	16675
124	1513	16647
125	1524	16621
126	1535	16595
127	1545	16568
128	1556	16540
129	1567	16518
130	1579	16501
131	1589	16474
132	1600	16452
133	1610	16421
134	1621	16392
135	1632	16368
136	1642	16345
137	1653	16316
138	1664	16293
139	1674	16270
140	1685	16247
141	1696	16225
142	1707	16206
143	1718	16185
144	1729	16161
145	1740	16139
146	1751	16120
147	1762	16100
148	1773	16078
149	1784	16061
150	1795	16042
151	1806	16020
152	1817	15997
153	1827	15976
154	1838	15954
155	1850	15938
156	1860	15914
157	1871	15896
158	1882	15879
159	1893	15859
160	1904	15838
161	1915	15823
162	1926	15799
163	1938	15788
164	1948	15768
165	1960	15752
166	1971	15735
167	1981	15712
168	1992	15689
169	2002	15667
170	2014	15653
171	2025	15638
172	2036	15620
173	2047	15600
174	2057	15581
175	2069	15565
176	2080	15549
177	2091	15532
178	2101	15511
179	2112	15493
180	2123	15473
181	2134	15458
182	2145	15437
183	2156	15421
184	2167	15405
185	2178	15387
186	2188	15367
187	2199	15352
188	2210	15335
189	2221	15317
190	2231	15295
191	2242	15279
192	2254	15265
193	2265	15250
194	2276	15234
195	2287	15216
196	2297	15199
197	2308	15181
198	2318	15159
199	2329	15143
200	2340	15128
201	2352	15115
202	2363	15098
203	2373	15081
204	2384	15065
205	2395	15049
206	2407	15037
207	2418	15023
208	2429	15007
209	2440	14990
210	2451	14976
211	2462	14960
212	2474	14951
213	2485	14937
214	2496	14923
215	2507	14906
216	2518	14892
217	2530	14879
218	2540	14862
219	2551	14844
220	2562	14832
221	2573	14816
222	2584	14801
223	2596	14788
224	2606	14771
225	2617	14754
226	2628	14739
227	2639	14723
228	2649	14707
229	2660	14692
230	2671	14676
231	2681	14657
232	2692	14642
233	2703	14626
234	2715	14615
235	2725	14599
236	2736	14582
237	2747	14569
238	2758	14553
239	2769	14538
240	2780	14526
241	2791	14510
242	2802	14495
243	2813	14481
244	2823	14465
245	2834	14449
246	2845	14434
247	2857	14424
248	2867	14406
249	2878	14391
250	2889	14379
251	2900	14366
252	2911	14349
253	2922	14334
254	2933	14321
255	2943	14304
256	2954	14289
257	2965	14275
258	2976	14262
259	2987	14249
260	2998	14234
261	3009	14221
262	3020	14206
263	3031	14190
264	3041	14174
265	3052	14161
266	3063	14145
267	3073	14131
268	3084	14117
269	3096	14107
270	3107	14094
271	3118	14079
272	3129	14063
273	3139	14048
274	3150	14033
275	3161	14020
276	3172	14006
277	3183	13993
278	3194	13979
279	3205	13967
280	3216	13952
281	3226	13937
282	3238	13924
283	3249	13913
284	3260	13898
285	3271	13885
286	3281	13871
287	3292	13857
288	3303	13841
289	3314	13828
290	3324	13812
291	3334	13796
292	3345	13781
293	3357	13770
294	3367	13756
295	3378	13742
296	3389	13729
297	3400	13716
298	3411	13704
299	3422	13691
300	3433	13678
301	3444	13664
302	3455	13652
303	3466	13637
304	3477	13626
305	3489	13613
306	3500	13601
307	3510	13585
308	3521	13572
309	3532	13561
310	3543	13548
311	3554	13536
312	3565	13521
313	3575	13506
314	3586	13492
315	3597	13479
316	3608	13465
317	3619	13452
318	3630	13439
319	3641	13426
320	3651	13411
321	3662	13398
322	3673	13384
323	3684	13372
324	3695	13358
325	3705	13345
326	3716	13330
327	3726	13316
328	3738	13305
329	3749	13293
330	3760	13279
331	3770	13264
332	3781	13252
333	3791	13237
334	3802	13225
335	3813	13212
336	3824	13199
337	3835	13186
338	3846	13174
339	3857	13159
340	3868	13147
341	3880	13137
342	3891	13126
343	3901	13111
344	3912	13097
345	3923	13086
346	3934	13072
347	3945	13060
348	3956	13047
349	3967	13036
350	3978	13023
351	3988	13008
352	3999	12996
353	4011	12985
354	4022	12974
355	4033	12960
356	4043	12946
357	4055	12935
358	4065	12922
359	4076	12908
360	4087	12895
361	4098	12883
362	4109	12871
363	4119	12857
364	4131	12845
365	4141	12832
366	4153	12821
367	4164	12808
368	4174	12794
369	4186	12784
370	4196	12770
371	4207	12757
372	4219	12748
373	4229	12734
374	4240	12721
375	4251	12709
376	4261	12694
377	4273	12684
378	4284	12671
379	4294	12658
380	4305	12645
381	4315	12631
382	4326	12617
383	4336	12604
384	4347	12590
385	4358	12578
386	4369	12567
387	4380	12555
388	4391	12542
389	4402	12529
390	4413	12517
391	4424	12504
392	4434	12490
393	4445	12478
394	4456	12466
395	4467	12453
396	4478	12441
397	4489	12430
398	4500	12418
399	4511	12405
400	4521	12392
401	4532	12381
402	4543	12367
403	4553	12353
404	4564	12341
405	4575	12328
406	4585	12315
407	4596	12302
408	4607	12291
409	4619	12280
410	4629	12267
411	4640	12255
412	4652	12244
413	4663	12232
414	4673	12219
415	4684	12207
416	4695	12195
417	4706	12182
418	4717	12170
419	4728	12159
420	4739	12147
421	4750	12135
422	4761	12124
423	4772	12110
424	4782	12097
425	4793	12085
426	4804	12074
427	4816	12063
428	4827	12051
429	4838	12038
430	4848	12026
431	4859	12014
432	4870	12002
433	4881	11989
434	4892	11977
435	4903	11965
436	4914	11953
437	4924	11941
438	4935	11927
439	4946	11915
440	4956	11902
441	4966	11888
442	4978	11877
443	4988	11865
444	4999	11852
445	5010	11840
446	5021	11828
447	5031	11816
448	5043	11806
449	5054	11794
450	5065	11782
451	5076	11770
452	5087	11757
453	5098	11745
454	5108	11733
